1,I NEVER LIKED YOU,studio,2022-04-29,1
2,ASTROWORLD,studio,2018-08-03,2
3,Luv Is Rage 2,studio,2017-08-25,3
4,Trip At Knight (Complete Edition),studio,2021-08-21,4
5,Die Lit,studio,2018-05-11,6
6,DAMN.,studio,2017-04-14,7
7,Whole Lotta Red,studio,2020-12-25,6
8,Dark Knight Dummo (Feat. Travis Scott),single,2017-12-05,4
9,Dark Lane Demo Tapes,studio,2020-05-01,8
10,The Melodic Blue,studio,2021-09-22,9
11,Donda,studio,2021-08-29,10
12,UTOPIA,studio,2023-07-28,2
13,a Gift & a Curse,studio,2023-06-16,14
14,Mr. Morale & The Big Steppers,studio,2022-05-13,7
15,NOT ALL HEROES WEAR CAPES (Deluxe),studio,2018-11-06,17
16,Rodeo,studio,2015-09-04,2
17,Playboi Carti,studio,2017-04-14,6
18,i am > i was,studio,2018-12-21,13
19,SAVAGE MODE II,studio,2020-10-02,13
20,DIE FOR MY BITCH,studio,2019-07-19,9
21,"good kid, m.A.A.d city",studio,2012-01-01,7
22,SR3MM,studio,2018-05-04,23
23,JACKBOYS,studio,2019-12-27,26
24,Pink Tape,studio,2023-06-30,3
25,IGOR,studio,2019-05-17,30
26,For All The Dogs,studio,2023-10-06,8
27,Life of a DON,studio,2021-10-08,28
28,B4 The Storm,studio,2020-08-28,32
29,i am > i was (Deluxe),studio,2018-12-24,13
30,HNDRXX,studio,2017-07-27,1
31,Immortal,single,2019-10-31,13
32,Luv Is Rage 2 (Deluxe),studio,2017-11-17,3
33,FUTURE,studio,2017-06-30,1
34,Trip At Knight,studio,2021-08-20,4
35,née-nah,single,2024-01-10,13
36,american dream,studio,2024-01-12,13
37,Birds In The Trap Sing McKnight,studio,2016-09-16,2
38,VULTURES 1,studio,2024-02-09,45
39,WE DON'T TRUST YOU,studio,2024-03-22,1
40,DAYS BEFORE RODEO,studio,2014-08-18,2
41,SET IT OFF,studio,2023-10-13,49
42,THE SCOTTS,single,2020-04-24,50
43,Down In Atlanta,single,2022-11-18,52
44,Faith Of A Mustard Seed,studio,2024-07-26,53
