1,Future,US,solo
2,Travis Scott,US,solo
3,Lil Uzi Vert,US,solo
4,Trippie Redd,US,solo
5,XXXTENTACION,US,solo
6,Playboi Carti,US,solo
7,Kendrick Lamar,US,solo
8,Drake,CA,solo
9,Baby Keem,US,solo
10,Kanye West,GB,solo
11,SZA,US,solo
12,James Blake,DE,solo
13,21 Savage,US,solo
14,Gunna,US,solo
15,Sam Dew,US,solo
16,Tanna Leone,Los Angeles,solo
17,Metro Boomin,US,solo
18,Kacy Hill,US,solo
19,Juicy J,GB,solo
20,Justin Bieber,CA,solo
21,Young Thug,CA,solo
22,Jay Rock,US,solo
23,Rae Sremmurd,US,solo
24,Swae Lee,US,solo
25,Slim Jxmmi,Unknown,solo
26,JACKBOYS,US,solo
27,Sheck Wes,US,solo
28,Don Toliver,US,solo
29,The Weeknd,CA,solo
30,"Tyler, The Creator",US,solo
31,J. Cole,GB,solo
32,Internet Money,US,solo
33,NAV,CA,solo
34,Quavo,US,solo
35,2 Chainz,US,solo
36,Chief Keef,US,solo
37,Rob49,US,solo
38,Yung Lean,SE,solo
39,Dave Chappelle,US,solo
40,Westside Gunn,Buffalo,solo
41,Bryson Tiller,US,solo
42,Doja Cat,US,solo
43,Brent Faiyaz,US,solo
44,Yeat,US,solo
45,¥$,US,solo
46,Ty Dolla $ign,US,solo
47,Rich The Kid,US,solo
48,Rihanna,US,solo
49,Offset,US,solo
50,THE SCOTTS,GB,solo
51,Kid Cudi,US,solo
52,Pharrell Williams,US,solo
53,Mustard,US,solo
