1,712PM,2:53,1,1
2,HOUSTONFORNICATION,3:37,2,16
3,STARGAZING,4:30,2,1
4,BUTTERFLY EFFECT,3:10,2,15
5,XO Tour Llif3,3:02,3,16
6,Danny Phantom (feat. XXXTENTACION),2:16,4,13
7,5% TINT,3:16,2,9
8,Long Time - Intro,3:31,5,1
9,HUMBLE.,2:57,6,8
10,Sky,3:13,7,19
11,Rockstar Made,3:13,7,1
12,New Tank,1:29,7,9
13,Dark Knight Dummo (Feat. Travis Scott),4:16,8,1
14,SICKO MODE,5:12,2,3
15,War,3:00,9,14
16,hooligan,2:36,10,2
17,R.I.P.,3:12,5,2
18,Off The Grid,5:39,11,4
19,SIRENS,3:24,12,6
20,TELEKINESIS (feat. SZA & Future),5:53,12,18
21,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),5:14,12,19
22,FE!N (feat. Playboi Carti),3:11,12,8
23,CAN'T SAY,3:18,2,13
24,NO BYSTANDERS,3:38,2,6
25,Die4Guy,2:11,7,22
26,Teen X (feat. Future),3:25,7,10
27,Over,2:46,7,20
28,F33l Lik3 Dyin,3:24,7,24
29,ILoveUIHateU,2:15,7,21
30,fukumean,2:05,13,6
31,N95,3:15,14,2
32,United In Grief,4:15,14,1
33,Count Me Out,4:43,14,1
34,Savior,3:44,14,5
35,Mr. Morale,3:30,14,7
36,Overdue (with Travis Scott),2:46,15,2
37,90210 (feat. Kacy Hill),5:39,16,5
38,Antidote,4:22,16,9
39,Magnolia,3:01,17,2
40,Location,2:48,17,1
41,Vamp Anthem,2:04,7,12
42,ASTROTHUNDER,2:22,2,11
43,can't leave without it,3:25,18,8
44,Runnin,3:15,19,2
45,ORANGE SODA,2:09,20,12
46,ball w/o you,3:15,18,10
47,Wasted (feat. Juicy J),3:55,16,4
48,Maria I'm Drunk (feat. Justin Bieber & Young Thug),5:49,16,11
49,Money Trees,6:26,21,5
50,CLOSE (feat. Travis Scott) - From SR3MM,3:13,22,2
51,Don't Come Out The House (with 21 Savage),2:48,15,3
52,Foreign,2:22,5,11
53,RIP Luv,3:34,19,14
54,Glock In My Lap,3:13,19,3
55,Mr. Right Now (feat. Drake),3:13,19,4
56,Said N Done,3:51,19,15
57,GANG GANG,4:04,23,3
58,Aye (feat. Travis Scott),3:27,24,3
59,WHAT TO DO? (feat. Don Toliver),4:10,23,6
60,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),4:18,12,12
61,Impossible,4:02,16,10
62,OUT WEST (feat. Young Thug),2:37,23,5
63,EARFQUAKE,3:10,25,2
64,First Person Shooter (feat. J. Cole),4:07,26,6
65,Flocky Flocky (feat. Travis Scott),3:03,27,4
66,Patience (feat. Don Toliver),4:22,24,20
67,Lemonade (feat. NAV),3:15,28,17
68,a lot,4:48,29,1
69,can't leave without it,3:25,29,8
70,asmr,2:51,29,9
71,pad lock,3:11,29,12
72,monster,3:53,29,13
73,4L,4:48,29,15
74,ball w/o you,3:15,29,10
75,STOP TRYING TO BE GOD,5:38,2,5
76,CAROUSEL,3:00,2,2
77,R.I.P. SCREW,3:05,2,4
78,YOSEMITE,2:30,2,12
79,monster,3:53,18,13
80,NC-17,2:36,2,10
81,COFFEE BEAN,3:29,2,17
82,Pornography,3:51,16,1
83,Oh My Dis Side (feat. Quavo),5:51,16,2
84,3500 (feat. Future & 2 Chainz),7:41,16,3
85,Nightcrawler (feat. Swae Lee & Chief Keef),5:21,16,7
86,Piss On Your Grave (feat. Kanye West),2:46,16,8
87,I Can Tell,3:55,16,13
88,Apple Pie,3:39,16,14
89,Never Catch Me,2:56,16,16
90,Pray 4 Love (feat. The Weeknd),5:07,16,6
91,HYAENA,3:42,12,1
92,THANK GOD,3:04,12,2
93,MY EYES,4:11,12,4
94,GOD'S COUNTRY,2:07,12,5
95,MELTDOWN (feat. Drake),4:06,12,7
96,I KNOW ?,3:31,12,10
97,TOPIA TWINS (feat. Rob49 & 21 Savage),3:43,12,11
98,PARASAIL (feat. Yung Lean & Dave Chappelle),2:34,12,13
99,SKITZO (feat. Young Thug),6:06,12,14
100,LOST FOREVER (feat. Westside Gunn),2:43,12,15
101,Solo,4:25,30,16
102,NEW MAGIC WAND,3:15,25,6
103,ARE WE STILL FRIENDS?,4:25,25,12
104,Immortal,4:14,31,1
105,family ties (with Kendrick Lamar),4:12,10,10
106,20 Min,3:40,32,20
107,Mask Off,3:24,33,7
108,Miss The Rage,3:56,34,6
109,née-nah,3:40,35,1
110,Fell In Luv (feat. Bryson Tiller),3:26,5,10
111,all of me,3:18,36,2
112,redrum,4:30,36,3
113,n.h.i.e.,2:23,36,4
114,pop ur shit,3:13,36,6
115,née-nah,3:40,36,9
116,should've wore a bonnet,3:06,36,12
117,IDGAF (feat. Yeat),4:20,26,7
118,SKELETONS,2:25,2,7
119,Rich Nigga Shit (feat. Young Thug),3:10,19,5
120,Many Men,3:21,19,7
121,coordinate,3:46,37,3
122,lose,3:20,37,12
123,16,2:36,10,16
124,trademark usa,4:30,10,1
125,scars,4:26,10,11
126,durag activity (with Travis Scott),3:44,10,12
127,no sense,2:53,10,3
128,vent,2:16,10,15
129,CARNIVAL,4:24,38,12
130,We Don't Trust You,3:46,39,1
131,Young Metro,3:25,39,2
132,Type Shit,3:48,39,4
133,Like That,4:27,39,6
134,Slimed In,3:14,39,7
135,Cinderella,2:49,39,9
136,My Collection,4:15,30,1
137,Comin Out Strong (feat. The Weeknd),4:14,30,2
138,Selfish (feat. Rihanna),4:11,30,15
139,BURN,1:51,38,9
140,Drugs You Should Try It,3:28,40,4
141,SAY MY GRACE (feat. Travis Scott),2:53,41,2
142,THE SCOTTS,2:45,42,1
143,Down In Atlanta,2:44,43,1
144,Parking Lot,2:52,44,5
